source: WSCRichmond:\Stations\08MG013\Approved_Computations_&_Supporting_Docs\2018\Q Calculator - Harrison.xls,,
Free Fall Ratio,Free Fall Discharge Ratio,Difference
0.26,0.5782,0.0057
0.27,0.5839,0.0057
0.28,0.5896,0.0057
0.29,0.5953,0.0057
0.3,0.601,0.0057
0.31,0.6067,0.0057
0.32,0.6124,0.0057
0.33,0.6181,0.0057
0.34,0.6238,0.0057
0.35,0.6295,0.0057
0.36,0.6352,0.0057
0.37,0.6409,0.0057
0.38,0.6466,0.0057
0.39,0.6523,0.0057
0.4,0.658,0.0057
0.41,0.6637,0.0057
0.42,0.6694,0.0057
0.43,0.6751,0.0057
0.44,0.6808,0.0057
0.45,0.6865,0.0057
0.46,0.6922,0.0057
0.47,0.6979,0.0057
0.48,0.7036,0.0057
0.49,0.7093,0.0057
0.5,0.715,0.0057
0.51,0.7207,0.0057
0.52,0.7264,0.0057
0.53,0.7321,0.0057
0.54,0.7378,0.0057
0.55,0.7435,0.0057
0.56,0.7492,0.0057
0.57,0.7549,0.0057
0.58,0.7606,0.0057
0.59,0.7663,0.0057
0.6,0.772,0.0057
0.61,0.7777,0.0057
0.62,0.7834,0.0057
0.63,0.7891,0.0057
0.64,0.7948,0.0057
0.65,0.8005,0.0057
0.66,0.8062,0.0057
0.67,0.8119,0.0057
0.68,0.8176,0.0057
0.69,0.8233,0.0057
0.7,0.829,0.0057
0.71,0.8347,0.0057
0.72,0.8404,0.0057
0.73,0.8461,0.0057
0.74,0.8518,0.0057
0.75,0.8575,0.0057
0.76,0.8632,0.0057
0.77,0.8689,0.0057
0.78,0.8746,0.0057
0.79,0.8803,0.0057
0.8,0.886,0.0057
0.81,0.8917,0.0057
0.82,0.8974,0.0057
0.83,0.9031,0.0057
0.84,0.9088,0.0057
0.85,0.9145,0.0057
0.86,0.9202,0.0057
0.87,0.9259,0.0057
0.88,0.9316,0.0057
0.89,0.9373,0.0057
0.9,0.943,0.0057
0.91,0.9487,0.0057
0.92,0.9544,0.0057
0.93,0.9601,0.0057
0.94,0.9658,0.0057
0.95,0.9715,0.0057
0.96,0.9772,0.0057
0.97,0.9829,0.0057
0.98,0.9886,0.0057
0.99,0.9943,0.0057
1,1,
