source: WSCRichmond:\Stations\08MG013\Approved_Computations_&_Supporting_Docs\2018\Q Calculator - Harrison.xls,,
Table 7,,
Gauge Height,Free Fall Discharge,Difference
26.9,2900.63284,99.45191547
27,3000.084755,100.1045316
27.1,3100.189287,100.1045316
27.2,3200.293819,101.5905752
27.3,3301.884394,102.2573172
27.4,3404.141711,102.2573172
27.5,3506.399028,135.3118996
27.6,3641.710928,182.9867782
27.7,3824.697706,182.9867782
27.8,4007.684484,182.9867782
27.9,4190.671262,182.9867782
28,4373.65804,182.9867782
28.1,4556.644819,182.9867782
28.2,4739.631597,195.153878
28.3,4934.785475,197.3386823
28.4,5132.124157,197.3386823
28.5,5329.462839,197.3386823
28.6,5526.801522,197.3386823
28.7,5724.140204,197.3386823
28.8,5921.478887,197.3386823
28.9,6118.817569,197.3386823
29,6316.156251,197.3386823
29.1,6513.494934,197.3763514
29.2,6710.871285,204.5146344
29.3,6915.385919,204.5146344
29.4,7119.900554,204.5146344
29.5,7324.415188,204.5146344
29.6,7528.929823,204.5146344
29.7,7733.444457,204.5146344
29.8,7937.959091,204.5146344
29.9,8142.473726,204.5146344
30,8346.98836,204.5146344
30.1,8551.502995,204.5146344
30.2,8756.017629,204.5146344
30.3,8960.532264,204.5146344
30.4,9165.046898,204.5146344
30.5,9369.561532,251.9776246
30.6,9621.539157,258.3342751
30.7,9879.873432,258.3342751
30.8,10138.20771,310.0915358
30.9,10448.29924,344.4457001
31,10792.74494,344.4457001
31.1,11137.19064,361.6792858
31.2,11498.86993,398.2653407
31.3,11897.13527,398.2653407
31.4,12295.40061,399.1128941
31.5,12694.5135,419.793197
31.6,13114.3067,419.793197
31.7,13534.0999,419.793197
31.8,13953.8931,444.2874901
31.9,14398.18059,452.0849814
32,14850.26557,452.0849814
32.1,15302.35055,457.2268053
32.2,15759.57735,462.8489095
32.3,16222.42626,462.8489095
32.4,16685.27517,467.0866765
32.5,17152.36185,484.3767657
32.6,17636.73861,484.3767657
32.7,18121.11538,484.3767657
32.8,18605.49215,513.9563793
32.9,19119.44853,516.6685501
33,19636.11708,516.6685501
33.1,20152.78563,516.6685501
33.2,20669.45418,516.6685501
33.3,21186.12273,516.6685501
33.4,21702.79128,524.2965307
33.5,22227.08781,538.1964064
33.6,22765.28421,538.1964064
33.7,23303.48062,538.5128263
33.8,23841.99345,542.5019776
33.9,24384.49542,542.5019776
34,24926.9974,542.5019776
34.1,25469.49938,542.5019776
34.2,26012.00136,542.5019776
34.3,26554.50333,542.5019776
34.4,27097.00531,542.5019776
34.5,27639.50729,542.5019776
34.6,28182.00927,542.5019776
34.7,28724.51124,542.5019776
34.8,29267.01322,542.5019776
34.9,29809.5152,542.5019776
35,30352.01718,542.5019776
35.1,30894.51915,542.5019776
35.2,31437.02113,542.5019776
35.3,31979.52311,542.5019776
35.4,32522.02509,554.0287038
35.5,33076.05379,559.7242626
35.6,33635.77805,559.7242626
35.7,34195.50232,577.1461935
35.8,34772.64851,604.5739632
35.9,35377.22247,604.5739632
36,35981.79644,604.5739632
36.1,36586.3704,604.5739632
36.2,37190.94436,604.5739632
36.3,37795.51833,604.5739632
36.4,38400.09229,604.5739632
36.5,39004.66625,604.5739632
36.6,39609.24022,604.5739632
36.7,40213.81418,604.5739632
36.8,40818.38814,604.5739632
36.9,41422.9621,604.5739632
37,42027.53607,604.5739632
37.1,42632.11003,604.5739632
37.2,43236.68399,604.5739632
37.3,43841.25796,604.5739632
37.4,44445.83192,604.5739632
37.5,45050.40588,604.5739632
37.6,45654.97985,604.5739632
37.7,46259.55381,604.5739632
37.8,46864.12777,604.5739632
37.9,47468.70174,604.5739632
38,48073.2757,604.5739632
38.1,48677.84966,604.5739632
38.2,49282.42363,604.5739632
38.3,49886.99759,604.5739632
38.4,50491.57155,604.5739632
